inci_no,Year,Season,Alm_Date,Address,Incident Type,Incident Type Number,Inci_type,Content_Loss,Property_Loss,Total_Loss,Pre_Inci_Value,Saved
7866,2012,Spring,4/1/2012,217 W ST CATHERINE n/a City of Louisville KY 40203,Structure Fire,112,112 - Fires in structure other than in a building,1000,2000,3000,80000,77000
8072,2012,Spring,4/3/2012,3153 TALISMAN N/A City of Cambridge KY 40220,Structure Fire,111,111 - Building fire,0,5000,5000,127000,122000
8132,2012,Spring,4/4/2012,RUNDILL MAP 4 City of Louisville KY 40214,Vehicle Fire,131,131 - Passenger vehicle fire,0,4000,4000,4000,0
8316,2012,Spring,4/6/2012,1150 S 28TH n/a City of Louisville KY 40211,Structure Fire,111,111 - Building fire,0,5000,5000,50000,45000
8322,2012,Spring,4/6/2012,3308 HALE n/a City of Louisville KY 40211,Structure Fire,111,111 - Building fire,0,5000,5000,5000,0
8438,2012,Spring,4/7/2012,S SHELBY City of Louisville KY 40203,Vehicle Fire,131,131 - Passenger vehicle fire,0,250,250,1500,1250
8520,2012,Spring,4/8/2012,100 HIGH RISE n/a City of Audubon Park KY 40213,Structure Fire,111,111 - Building fire,500,500,1000,1000000,999000
8528,2012,Spring,4/8/2012,740 I 264 East n/a City of Louisville KY 40215,Vehicle Fire,131,131 - Passenger vehicle fire,0,3000,3000,6000,3000
8854,2012,Spring,4/12/2012,6708 SEMINOLE n/a City of Louisville KY 40214,Structure Fire,111,111 - Building fire,30000,60000,90000,225000,135000
8857,2012,Spring,4/12/2012,1601 GAGEL front entrance City of Louisville KY 40216,Outside Fire,164,164 - Outside mailbox fire,0,200,200,500000,499800
8879,2012,Spring,4/12/2012,419 N 28TH None City of Louisville KY 40212,Structure Fire,118,"118 - Trash or rubbish fire, contained",0,100,100,500,400
8953,2012,Spring,4/13/2012,144 BRECKENRIDGE 4 City of Beechwood Village KY 40207,Structure Fire,111,111 - Building fire,500,1000,1500,1000,-500
8973,2012,Spring,4/13/2012,3025 KLONWAY N/A City of Cambridge KY 40220,Structure Fire,111,111 - Building fire,20000,40000,60000,120000,60000
9042,2012,Spring,4/14/2012,1125 MULBERRY n/a City of Louisville KY 40217,Structure Fire,111,111 - Building fire,500,500,1000,118000,117000
9049,2012,Spring,4/14/2012,1610 BULGER B City of Louisville KY 40210,Structure Fire,111,111 - Building fire,20000,100000,120000,400000,280000
9169,2012,Spring,4/15/2012,2907 S 6TH 0 City of Louisville KY 40208,Structure Fire,111,111 - Building fire,500,1000,1500,7000,5500
9272,2012,Spring,4/16/2012,215 ALBANY N/A City of Louisville KY 40206,Structure Fire,111,111 - Building fire,250,2000,2250,105000,102750
9500,2012,Spring,4/19/2012,934 FRANKLIN 4 City of Louisville KY 40206,Structure Fire,111,111 - Building fire,2000,30000,32000,100000,68000
9529,2012,Spring,4/19/2012,605 SCHOLAR HOUSE 306 City of Louisville KY 40217,Structure Fire,113,"113 - Cooking fire, confined to container",3000,5000,8000,500000,492000
9793,2012,Spring,4/22/2012,517 M n/a City of Louisville KY 40208,Structure Fire,111,111 - Building fire,300,1000,1300,1000,-300
9793,2012,Spring,4/22/2012,515 M n/a City of Louisville KY 40208,Structure Fire,111,111 - Building fire,0,300,300,800,500
9876,2012,Spring,4/23/2012,3315 GREENWOOD N/A City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,2000,2000,2500,500
9896,2012,Spring,4/24/2012,1415 WEYLER N/A City of Louisville KY 40215,Structure Fire,111,111 - Building fire,20000,50000,70000,125000,55000
10104,2012,Spring,4/26/2012,303 E BRANDEIS n/a City of Louisville KY 40208,Vehicle Fire,131,131 - Passenger vehicle fire,100,500,600,7000,6400
10179,2012,Spring,4/27/2012,959 CHARLES NA City of Louisville KY 40204,Structure Fire,111,111 - Building fire,10000,50000,60000,75000,15000
10179,2012,Spring,4/27/2012,959 CHARLES NA City of Louisville KY 40204,Structure Fire,111,111 - Building fire,0,5000,5000,80000,75000
10179,2012,Spring,4/27/2012,959 CHARLES NA City of Louisville KY 40204,Structure Fire,111,111 - Building fire,0,5000,5000,80000,75000
10305,2012,Spring,4/28/2012,120 I 64 West n/a City of Louisville KY 40212,Vehicle Fire,131,131 - Passenger vehicle fire,0,1000,1000,1000,0
10343,2012,Spring,4/28/2012,1693 GARLAND N/A City of Louisville KY 40210,Structure Fire,113,"113 - Cooking fire, confined to container",0,250,250,400,150
10472,2012,Spring,4/29/2012,1239 S CLAY n/a City of Louisville KY 40203,Structure Fire,111,111 - Building fire,1000,10000,11000,69500,58500
10527,2012,Spring,4/30/2012,301 N 44TH N/A City of Louisville KY 40212,Structure Fire,111,111 - Building fire,2500,10000,12500,80000,67500
10592,2012,Summer,5/1/2012,2325 DUNCAN None City of Louisville KY 40212,Structure Fire,118,"118 - Trash or rubbish fire, contained",500,0,500,0,-500
10643,2012,Summer,5/1/2012,700 CENTRAL n/a City of Louisville KY 40208,Structure Fire,111,111 - Building fire,0,450,450,150000,149550
10674,2012,Summer,5/1/2012,433 S 2ND 102 City of Louisville KY 40202,Structure Fire,113,"113 - Cooking fire, confined to container",1500,200,1700,200,-1500
10941,2012,Summer,5/4/2012,2800 YORKSHIRE n/a City of Cambridge KY 40220,Structure Fire,113,"113 - Cooking fire, confined to container",0,400,400,60000,59600
10947,2012,Summer,5/4/2012,GREENWOOD City of Louisville KY 40211,Vehicle Fire,130,"130 - Mobile property (vehicle) fire, other",0,500,500,500,0
11012,2012,Summer,5/4/2012,2319 DIXDALE na City of Louisville KY 40210,Structure Fire,111,111 - Building fire,8000,15000,23000,46000,23000
11157,2012,Summer,5/6/2012,664 S 40TH n/a City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,250,2500,2750,5000,2250
